service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Gemini Models (Generative AI),Gemini 3.1 Flash Lite Global Text Input - Predictions,21291666.666666668,global,C7E2-9256-1C43,7DDF-162F-B3F3,5.32292,
Gemini Models (Generative AI),Gemini 3.1 Flash Lite Global Image Input - Predictions,7847500.0,global,C7E2-9256-1C43,F033-5EFD-414C,1.96188,
Gemini Models (Generative AI),Gemini 3.1 Flash Lite Global Text Output - Predictions,1216666.6666666667,global,C7E2-9256-1C43,DA75-5E07-40DC,1.825,
Cloud Run,Services CPU (Request-based billing),12166800,global,152E-C115-5142,4856-B847-F1EB,0.292,
Cloud Run,Services Memory (Request-based billing),6083400.0,global,152E-C115-5142,02A2-9231-36A6,0.01521,
Cloud Run,Requests,30417.0,global,152E-C115-5142,2DA5-55D3-E679,0,
Firestore,Cloud Firestore Read Ops Japan,912500.0,asia-northeast1,F17B-412E-CB64,020A-8852-F68B,0,
Firestore,Cloud Firestore Entity Writes Japan,730.0,asia-northeast1,F17B-412E-CB64,AABE-78FC-30BB,0,
Firestore,Cloud Firestore Entity Deletes Japan,0.0,asia-northeast1,F17B-412E-CB64,8B4B-2022-A7BF,0,
Firestore,Cloud Firestore Storage Japan,1.0,asia-northeast1,F17B-412E-CB64,725E-AC6D-1DF2,0,
Cloud Storage,Regional Standard Class A Operations,60000.0,global,95FF-2EF5-5EA1,4DBF-185F-A415,0.275,
Cloud Storage,Regional Standard Class B Operations,10000.0,global,95FF-2EF5-5EA1,7870-010B-2763,0,
Cloud Storage,Standard Storage Tokyo,1.0,asia-northeast1,95FF-2EF5-5EA1,1845-1496-2891,0.023,
,,,,,,,
,,,,,Total Price:,9.715,
,,,,,,,
"Prices are in US dollars, effective date is 2026-07-25T04:13:30.897Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVEzWkRFNE1tRTRaaTFsWWpObExUUTVOemt0T1dWak9DMHpNVEZoT0RGbVpqTmpNRE1RQVE9PRokODQ0REM0RTktN0FEMi00MjAwLTg3NkQtOTNDNzZBRUI5OEM5,,,,,,
